index,D_0__Archaea,D_0__Bacteria,D_0__Eukaryota,Unassigned,Well,Area,Date,FilterSize,DNA_concentration_ng/μl,DNA_volume_μl,R1.seq.num,R2.seq.num,Matched.seq.num,OldID_for_R
Spring20190615-GW82120190318F01,1552.0,48496.0,0.0,80.0,GW821,Bkgd,3/18/19,F01,ND,50.0,71837.0,66285.0,63735.0,GW821T190318F01
Spring20190615-GW82120190318F02,1910.0,107862.0,0.0,4.0,GW821,Bkgd,3/18/19,F02,0.190,50.0,138258.0,133172.0,127345.0,GW821T190318F02
Spring20190615-GW82120190318F10,645.0,79968.0,0.0,2.0,GW821,Bkgd,3/18/19,F10,0.965,50.0,131306.0,127863.0,123372.0,GW821T190318F10
Spring20190615-GW82120190401F01,36.0,52227.0,0.0,0.0,GW821,Bkgd,4/1/19,F01,0.560,50.0,96074.0,91661.0,88873.0,GW821T190401F01
Spring20190615-GW82120190401F02,16.0,3557.0,0.0,0.0,GW821,Bkgd,4/1/19,F02,54.772,50.0,394753.0,273513.0,260270.0,GW821T190401F02
Spring20190615-GW82120190401F10,86.0,12365.0,0.0,0.0,GW821,Bkgd,4/1/19,F10,41.700,50.0,277054.0,198014.0,190428.0,GW821T190401F10
Spring20190615-GW82120190415F01,325.0,183087.0,11.0,20.0,GW821,Bkgd,4/15/19,F01,3.610,50.0,341753.0,329272.0,317907.0,GW821T190415F01
Spring20190615-GW82120190415F10,376.0,59167.0,0.0,7.0,GW821,Bkgd,4/15/19,F10,15.290,50.0,111280.0,105076.0,101235.0,GW821T190415F10
Spring20190615-GW82120190429F01,129.0,102601.0,6.0,56.0,GW821,Bkgd,4/29/19,F01,0.148,50.0,145510.0,140141.0,135404.0,GW821T190429F01
Spring20190615-GW82120190429F02,3178.0,159550.0,0.0,7.0,GW821,Bkgd,4/29/19,F02,ND,50.0,195532.0,190475.0,182012.0,GW821T190429F02
Spring20190615-GW82120190429F10,639.0,86449.0,0.0,0.0,GW821,Bkgd,4/29/19,F10,1.387,50.0,145026.0,138075.0,133407.0,GW821T190429F10
