index,D_0__Archaea;D_1__Altiarchaeota,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Diapherotrites,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Hadesarchaeaeota,D_0__Archaea;D_1__Hydrothermarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Archaea;__,D_0__Bacteria;D_1__Acetothermia,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__AncK6,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Caldiserica,D_0__Bacteria;D_1__Calditrichaeota,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Dadabacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Desantisbacteria,D_0__Bacteria;D_1__Edwardsbacteria,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firestonebacteria,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__GAL15,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__LCP-89,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Lindowbacteria,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Nitrospinae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__PAUC34f,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Poribacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Schekmanbacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__TA06,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;__,D_0__Eukaryota;D_1__Excavata,D_0__Eukaryota;D_1__Opisthokonta,D_0__Eukaryota;__,Unassigned;__,Well,Area,Date,FilterSize,DNA_concentration_ng/μl,DNA_volume_μl,R1.seq.num,R2.seq.num,Matched.seq.num,OldID_for_R
Spring20190615-GW82120190318F01,0.0,0.0,95.0,13.0,0.0,0.0,1288.0,129.0,27.0,0.0,1522.0,1331.0,34.0,69.0,0.0,2512.0,0.0,0.0,2881.0,457.0,1132.0,0.0,19.0,809.0,0.0,0.0,755.0,8.0,36.0,11.0,31.0,19.0,0.0,659.0,0.0,0.0,240.0,0.0,0.0,0.0,10.0,0.0,0.0,45.0,21.0,303.0,512.0,14.0,13716.0,530.0,0.0,19552.0,13.0,0.0,152.0,0.0,0.0,487.0,6.0,100.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,80.0,GW821,Bkgd,3/18/19,F01,ND,50.0,71837.0,66285.0,63735.0,GW821T190318F01
Spring20190615-GW82120190318F02,0.0,4.0,132.0,122.0,0.0,0.0,1239.0,403.0,10.0,0.0,4549.0,2955.0,80.0,166.0,0.0,3918.0,0.0,0.0,10455.0,1860.0,3090.0,0.0,24.0,7199.0,0.0,0.0,3377.0,97.0,102.0,0.0,235.0,225.0,0.0,906.0,0.0,4.0,294.0,31.0,0.0,0.0,76.0,0.0,0.0,117.0,14.0,751.0,2755.0,0.0,17763.0,1251.0,0.0,42846.0,102.0,0.0,44.0,0.0,0.0,1700.0,0.0,217.0,0.0,0.0,0.0,659.0,0.0,0.0,0.0,4.0,GW821,Bkgd,3/18/19,F02,0.190,50.0,138258.0,133172.0,127345.0,GW821T190318F02
Spring20190615-GW82120190318F10,0.0,0.0,30.0,22.0,0.0,0.0,283.0,295.0,15.0,39.0,4873.0,2667.0,7.0,493.0,26.0,3520.0,0.0,0.0,4459.0,2723.0,2549.0,0.0,0.0,1045.0,0.0,0.0,1328.0,70.0,5.0,0.0,291.0,311.0,0.0,271.0,0.0,0.0,355.0,17.0,16.0,5.0,113.0,0.0,0.0,53.0,0.0,1045.0,1681.0,0.0,5740.0,2141.0,0.0,41811.0,296.0,0.0,4.0,0.0,0.0,1398.0,0.0,51.0,4.0,0.0,117.0,444.0,0.0,0.0,0.0,2.0,GW821,Bkgd,3/18/19,F10,0.965,50.0,131306.0,127863.0,123372.0,GW821T190318F10
Spring20190615-GW82120190401F01,0.0,0.0,3.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,72.0,597.0,4.0,17.0,0.0,1376.0,0.0,0.0,436.0,16.0,274.0,0.0,0.0,35.0,0.0,0.0,38.0,9.0,5.0,0.0,5.0,5.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,77.0,0.0,454.0,21.0,0.0,48485.0,0.0,0.0,23.0,0.0,0.0,61.0,0.0,4.0,0.0,0.0,12.0,138.0,0.0,0.0,0.0,0.0,GW821,Bkgd,4/1/19,F01,0.560,50.0,96074.0,91661.0,88873.0,GW821T190401F01
Spring20190615-GW82120190401F02,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,97.0,56.0,0.0,0.0,0.0,124.0,0.0,0.0,316.0,7.0,13.0,0.0,0.0,108.0,0.0,0.0,58.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,183.0,0.0,469.0,14.0,0.0,2038.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,GW821,Bkgd,4/1/19,F02,54.772,50.0,394753.0,273513.0,260270.0,GW821T190401F02
Spring20190615-GW82120190401F10,0.0,0.0,3.0,0.0,0.0,0.0,53.0,30.0,0.0,0.0,401.0,313.0,0.0,41.0,0.0,842.0,0.0,0.0,524.0,169.0,23.0,0.0,0.0,57.0,0.0,0.0,164.0,0.0,4.0,0.0,18.0,29.0,0.0,23.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,73.0,213.0,0.0,775.0,207.0,0.0,8208.0,17.0,0.0,3.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,18.0,24.0,0.0,0.0,0.0,0.0,GW821,Bkgd,4/1/19,F10,41.700,50.0,277054.0,198014.0,190428.0,GW821T190401F10
Spring20190615-GW82120190415F01,0.0,0.0,10.0,6.0,0.0,0.0,247.0,62.0,0.0,0.0,421.0,5347.0,0.0,43.0,0.0,15054.0,0.0,0.0,2067.0,119.0,1134.0,0.0,0.0,1723.0,0.0,0.0,558.0,17.0,10.0,0.0,39.0,28.0,0.0,38.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,88.0,347.0,0.0,3761.0,112.0,0.0,150081.0,5.0,0.0,45.0,0.0,0.0,446.0,0.0,64.0,0.0,0.0,0.0,1521.0,0.0,11.0,0.0,20.0,GW821,Bkgd,4/15/19,F01,3.610,50.0,341753.0,329272.0,317907.0,GW821T190415F01
Spring20190615-GW82120190415F10,0.0,8.0,30.0,0.0,0.0,0.0,140.0,198.0,0.0,21.0,2738.0,1783.0,0.0,497.0,30.0,2668.0,0.0,0.0,3105.0,1431.0,923.0,2.0,0.0,852.0,0.0,0.0,1360.0,34.0,19.0,0.0,172.0,188.0,0.0,57.0,0.0,0.0,139.0,8.0,13.0,0.0,104.0,0.0,0.0,3.0,19.0,505.0,1011.0,0.0,4756.0,983.0,0.0,34237.0,102.0,0.0,6.0,0.0,0.0,1020.0,0.0,77.0,0.0,0.0,79.0,225.0,0.0,0.0,0.0,7.0,GW821,Bkgd,4/15/19,F10,15.290,50.0,111280.0,105076.0,101235.0,GW821T190415F10
Spring20190615-GW82120190429F01,0.0,0.0,3.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,318.0,1150.0,0.0,86.0,0.0,23356.0,0.0,0.0,1334.0,130.0,2393.0,0.0,0.0,258.0,0.0,0.0,136.0,0.0,0.0,0.0,14.0,0.0,0.0,61.0,0.0,0.0,16.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,32.0,156.0,0.0,1298.0,181.0,0.0,69301.0,0.0,0.0,22.0,0.0,0.0,275.0,3.0,1345.0,0.0,0.0,0.0,728.0,0.0,6.0,0.0,56.0,GW821,Bkgd,4/29/19,F01,0.148,50.0,145510.0,140141.0,135404.0,GW821T190429F01
Spring20190615-GW82120190429F02,0.0,15.0,468.0,24.0,0.0,0.0,2160.0,478.0,33.0,119.0,6779.0,4760.0,0.0,510.0,0.0,8125.0,0.0,0.0,14101.0,2819.0,3487.0,0.0,0.0,12669.0,0.0,0.0,3905.0,38.0,104.0,0.0,271.0,295.0,0.0,1394.0,0.0,11.0,663.0,0.0,0.0,0.0,8.0,0.0,0.0,91.0,0.0,660.0,3905.0,46.0,25070.0,2299.0,0.0,61407.0,166.0,0.0,77.0,0.0,0.0,2731.0,0.0,1674.0,0.0,0.0,109.0,1257.0,0.0,0.0,0.0,7.0,GW821,Bkgd,4/29/19,F02,ND,50.0,195532.0,190475.0,182012.0,GW821T190429F02
